Sipariş Ürün ID,Sipariş ID,Ürün ID,Adet,Müşteri ID,Sipariş Tarihi,Satış Kanalı,Müşteri Adı,Şehir,Müşteri Tipi,Ürün Adı,Kategori,Birim Maliyet,Birim Satış Fiyatı,Mevcut Stok,Yeniden Sipariş Seviyesi,Ay,Ciro,Toplam Maliyet,Kâr,Kâr Marjı (%),Stok Durumu
1,1,1,1,1,2026-01-05,Online,Ahmet Yilmaz,Adana,Bireysel,Laptop,Elektronik,18000,25000,6,5,2026-01,25000,18000,7000,28.0,Sağlıklı Stok
2,1,2,2,1,2026-01-05,Online,Ahmet Yilmaz,Adana,Bireysel,Mouse,Elektronik,250,500,18,10,2026-01,1000,500,500,50.0,Sağlıklı Stok
3,2,3,1,2,2026-01-08,Mağaza,Zeynep Kaya,Mersin,Bireysel,Klavye,Elektronik,700,1200,8,10,2026-01,1200,700,500,41.67,Kritik Stok
4,2,6,2,2,2026-01-08,Mağaza,Zeynep Kaya,Mersin,Bireysel,Kulaklık,Elektronik,450,900,12,8,2026-01,1800,900,900,50.0,Sağlıklı Stok
5,3,4,5,3,2026-01-15,Kurumsal,ABC Ltd.,İstanbul,Kurumsal,Monitör,Elektronik,4200,6000,4,5,2026-01,30000,21000,9000,30.0,Kritik Stok
6,3,10,8,3,2026-01-15,Kurumsal,ABC Ltd.,İstanbul,Kurumsal,Sandalye,Mobilya,900,1500,7,6,2026-01,12000,7200,4800,40.0,Sağlıklı Stok
7,4,11,4,4,2026-02-02,Kurumsal,Nova A.S.,Ankara,Kurumsal,Masa,Mobilya,2400,3500,2,4,2026-02,14000,9600,4400,31.43,Kritik Stok
8,4,7,60,4,2026-02-02,Kurumsal,Nova A.S.,Ankara,Kurumsal,Defter,Kırtasiye,20,50,120,50,2026-02,3000,1200,1800,60.0,Sağlıklı Stok
9,5,8,100,5,2026-02-12,Online,Deniz Demir,Adana,Bireysel,Kalem,Kırtasiye,4,10,200,100,2026-02,1000,400,600,60.0,Sağlıklı Stok
10,5,9,40,5,2026-02-12,Online,Deniz Demir,Adana,Bireysel,Dosya,Kırtasiye,10,25,35,40,2026-02,1000,400,600,60.0,Kritik Stok
11,6,5,3,6,2026-02-20,Kurumsal,Kuzey Market,İzmir,Kurumsal,Telefon,Elektronik,13000,18000,3,4,2026-02,54000,39000,15000,27.78,Kritik Stok
12,6,4,2,6,2026-02-20,Kurumsal,Kuzey Market,İzmir,Kurumsal,Monitör,Elektronik,4200,6000,4,5,2026-02,12000,8400,3600,30.0,Kritik Stok
13,7,10,2,7,2026-03-03,Mağaza,Murat Celik,Bursa,Bireysel,Sandalye,Mobilya,900,1500,7,6,2026-03,3000,1800,1200,40.0,Sağlıklı Stok
14,7,8,50,7,2026-03-03,Mağaza,Murat Celik,Bursa,Bireysel,Kalem,Kırtasiye,4,10,200,100,2026-03,500,200,300,60.0,Sağlıklı Stok
15,8,1,2,8,2026-03-10,Kurumsal,Beta Teknoloji,İstanbul,Kurumsal,Laptop,Elektronik,18000,25000,6,5,2026-03,50000,36000,14000,28.0,Sağlıklı Stok
16,8,12,1,8,2026-03-10,Kurumsal,Beta Teknoloji,İstanbul,Kurumsal,Koltuk,Mobilya,8500,12000,1,3,2026-03,12000,8500,3500,29.17,Kritik Stok
17,9,6,5,9,2026-03-22,Online,Elif Arslan,Ankara,Bireysel,Kulaklık,Elektronik,450,900,12,8,2026-03,4500,2250,2250,50.0,Sağlıklı Stok
18,9,3,2,9,2026-03-22,Online,Elif Arslan,Ankara,Bireysel,Klavye,Elektronik,700,1200,8,10,2026-03,2400,1400,1000,41.67,Kritik Stok
19,10,11,6,10,2026-04-01,Kurumsal,Akdeniz Ofis,Mersin,Kurumsal,Masa,Mobilya,2400,3500,2,4,2026-04,21000,14400,6600,31.43,Kritik Stok
20,10,10,12,10,2026-04-01,Kurumsal,Akdeniz Ofis,Mersin,Kurumsal,Sandalye,Mobilya,900,1500,7,6,2026-04,18000,10800,7200,40.0,Sağlıklı Stok
21,11,2,4,1,2026-04-08,Online,Ahmet Yilmaz,Adana,Bireysel,Mouse,Elektronik,250,500,18,10,2026-04,2000,1000,1000,50.0,Sağlıklı Stok
22,11,7,30,1,2026-04-08,Online,Ahmet Yilmaz,Adana,Bireysel,Defter,Kırtasiye,20,50,120,50,2026-04,1500,600,900,60.0,Sağlıklı Stok
23,12,5,4,3,2026-04-16,Kurumsal,ABC Ltd.,İstanbul,Kurumsal,Telefon,Elektronik,13000,18000,3,4,2026-04,72000,52000,20000,27.78,Kritik Stok
24,12,4,3,3,2026-04-16,Kurumsal,ABC Ltd.,İstanbul,Kurumsal,Monitör,Elektronik,4200,6000,4,5,2026-04,18000,12600,5400,30.0,Kritik Stok
25,13,12,2,4,2026-05-04,Kurumsal,Nova A.S.,Ankara,Kurumsal,Koltuk,Mobilya,8500,12000,1,3,2026-05,24000,17000,7000,29.17,Kritik Stok
26,13,11,5,4,2026-05-04,Kurumsal,Nova A.S.,Ankara,Kurumsal,Masa,Mobilya,2400,3500,2,4,2026-05,17500,12000,5500,31.43,Kritik Stok
27,14,1,3,6,2026-05-14,Kurumsal,Kuzey Market,İzmir,Kurumsal,Laptop,Elektronik,18000,25000,6,5,2026-05,75000,54000,21000,28.0,Sağlıklı Stok
28,14,6,10,6,2026-05-14,Kurumsal,Kuzey Market,İzmir,Kurumsal,Kulaklık,Elektronik,450,900,12,8,2026-05,9000,4500,4500,50.0,Sağlıklı Stok
29,15,4,6,8,2026-05-25,Kurumsal,Beta Teknoloji,İstanbul,Kurumsal,Monitör,Elektronik,4200,6000,4,5,2026-05,36000,25200,10800,30.0,Kritik Stok
30,15,10,15,8,2026-05-25,Kurumsal,Beta Teknoloji,İstanbul,Kurumsal,Sandalye,Mobilya,900,1500,7,6,2026-05,22500,13500,9000,40.0,Sağlıklı Stok
31,16,3,3,2,2026-06-06,Mağaza,Zeynep Kaya,Mersin,Bireysel,Klavye,Elektronik,700,1200,8,10,2026-06,3600,2100,1500,41.67,Kritik Stok
